DUT,X,Y,SBIN
    1   ,   255   ,   255      ,     1       ,
    2   ,   254   ,   255      ,     1       ,
    3   ,   253   ,   255      ,     1       ,
    4   ,   252   ,   255      ,     1       ,
    5   ,   251   ,   255      ,    52       ,
    6   ,   250   ,   255      ,     1       ,
    7   ,   249   ,   255      ,     1       ,
    8   ,   248   ,   255      ,    52       ,
    9   ,   247   ,   255      ,     1       ,
   10   ,   246   ,   255      ,     1       ,
   11   ,   245   ,   255      ,     1       ,
   12   ,   244   ,   255      ,     1       ,
   13   ,   243   ,   255      ,     1       ,
   14   ,   242   ,   255      ,     1       ,
   15   ,   241   ,   255      ,     1       ,
   16   ,   240   ,   255      ,     1       ,
   17   ,   239   ,   255      ,    52       ,
   18   ,   238   ,   255      ,    52       ,
   19   ,   237   ,   255      ,    52       ,
   20   ,   236   ,   255      ,    52       ,
   21   ,   235   ,   255      ,    52       ,
   22   ,   234   ,   255      ,     1       ,
   23   ,   233   ,   255      ,    52       ,
   24   ,   232   ,   255      ,     1       ,
   25   ,   231   ,   255      ,     1       ,
   26   ,   230   ,   255      ,     1       ,
   27   ,   229   ,   255      ,    52       ,
   28   ,   228   ,   255      ,    52       ,
   29   ,   227   ,   255      ,     1       ,
   30   ,   226   ,   255      ,     1       ,
   31   ,   225   ,   255      ,     1       ,
   32   ,   224   ,   255      ,     1       ,
   33   ,   255   ,   253      ,     1       ,
   34   ,   254   ,   253      ,     1       ,
   35   ,   253   ,   253      ,     1       ,
   36   ,   252   ,   253      ,     1       ,
   37   ,   251   ,   253      ,    52       ,
   38   ,   250   ,   253      ,     1       ,
   39   ,   249   ,   253      ,     1       ,
   40   ,   248   ,   253      ,    52       ,
   41   ,   247   ,   253      ,     1       ,
   42   ,   246   ,   253      ,     1       ,
   43   ,   245   ,   253      ,     1       ,
   44   ,   244   ,   253      ,     1       ,
   45   ,   243   ,   253      ,     1       ,
   46   ,   242   ,   253      ,    52       ,
   47   ,   241   ,   253      ,     1       ,
   48   ,   240   ,   253      ,     1       ,
   49   ,   239   ,   253      ,     1       ,
   50   ,   238   ,   253      ,     1       ,
   51   ,   237   ,   253      ,     1       ,
   52   ,   236   ,   253      ,     1       ,
   53   ,   235   ,   253      ,     1       ,
   54   ,   234   ,   253      ,     1       ,
   55   ,   233   ,   253      ,     1       ,
   56   ,   232   ,   253      ,     1       ,
   57   ,   231   ,   253      ,    52       ,
   58   ,   230   ,   253      ,     1       ,
   59   ,   229   ,   253      ,     1       ,
   60   ,   228   ,   253      ,     1       ,
   61   ,   227   ,   253      ,     1       ,
   62   ,   226   ,   253      ,     1       ,
   63   ,   225   ,   253      ,     1       ,
   64   ,   224   ,   253      ,    52       ,
   65   ,   255   ,   251      ,    14       ,
   66   ,   254   ,   251      ,    52       ,
   67   ,   253   ,   251      ,     1       ,
   68   ,   252   ,   251      ,    52       ,
   69   ,   251   ,   251      ,     1       ,
   70   ,   250   ,   251      ,     1       ,
   71   ,   249   ,   251      ,    87       ,
   72   ,   248   ,   251      ,    18       ,
   73   ,   247   ,   251      ,     1       ,
   74   ,   246   ,   251      ,     1       ,
   75   ,   245   ,   251      ,     1       ,
   76   ,   244   ,   251      ,     1       ,
   77   ,   243   ,   251      ,     1       ,
   78   ,   242   ,   251      ,    52       ,
   79   ,   241   ,   251      ,     1       ,
   80   ,   240   ,   251      ,     1       ,
   81   ,   239   ,   251      ,     1       ,
   82   ,   238   ,   251      ,    52       ,
   83   ,   237   ,   251      ,     1       ,
   84   ,   236   ,   251      ,     1       ,
   85   ,   235   ,   251      ,     1       ,
   86   ,   234   ,   251      ,     1       ,
   87   ,   233   ,   251      ,    52       ,
   88   ,   232   ,   251      ,     1       ,
   89   ,   231   ,   251      ,     1       ,
   90   ,   230   ,   251      ,     1       ,
   91   ,   229   ,   251      ,     1       ,
   92   ,   228   ,   251      ,     1       ,
   93   ,   227   ,   251      ,     1       ,
   94   ,   226   ,   251      ,     1       ,
   95   ,   225   ,   251      ,     1       ,
   96   ,   224   ,   251      ,     1       ,
   97   ,   255   ,   249      ,     1       ,
   98   ,   254   ,   249      ,     1       ,
   99   ,   253   ,   249      ,     1       ,
  100   ,   252   ,   249      ,     1       ,
  101   ,   251   ,   249      ,     1       ,
  102   ,   250   ,   249      ,     1       ,
  103   ,   249   ,   249      ,     1       ,
  104   ,   248   ,   249      ,     1       ,
  105   ,   247   ,   249      ,     1       ,
  106   ,   246   ,   249      ,     1       ,
  107   ,   245   ,   249      ,    52       ,
  108   ,   244   ,   249      ,    52       ,
  109   ,   243   ,   249      ,     1       ,
  110   ,   242   ,   249      ,    52       ,
  111   ,   241   ,   249      ,     1       ,
  112   ,   240   ,   249      ,     1       ,
  113   ,   239   ,   249      ,     1       ,
  114   ,   238   ,   249      ,     1       ,
  115   ,   237   ,   249      ,     1       ,
  116   ,   236   ,   249      ,     1       ,
  117   ,   235   ,   249      ,     1       ,
  118   ,   234   ,   249      ,     1       ,
  119   ,   233   ,   249      ,    26       ,
  120   ,   232   ,   249      ,     1       ,
  121   ,   231   ,   249      ,     1       ,
  122   ,   230   ,   249      ,     1       ,
  123   ,   229   ,   249      ,     1       ,
  124   ,   228   ,   249      ,     1       ,
  125   ,   227   ,   249      ,     1       ,
  126   ,   226   ,   249      ,     1       ,
  127   ,   225   ,   249      ,    52       ,
  128   ,   224   ,   249      ,     1       ,
  129   ,   255   ,   247      ,     1       ,
  130   ,   254   ,   247      ,    52       ,
  131   ,   253   ,   247      ,     1       ,
  132   ,   252   ,   247      ,    14       ,
  133   ,   251   ,   247      ,     1       ,
  134   ,   250   ,   247      ,     1       ,
  135   ,   249   ,   247      ,     1       ,
  136   ,   248   ,   247      ,     1       ,
  137   ,   247   ,   247      ,     1       ,
  138   ,   246   ,   247      ,     1       ,
  139   ,   245   ,   247      ,     1       ,
  140   ,   244   ,   247      ,     1       ,
  141   ,   243   ,   247      ,     1       ,
  142   ,   242   ,   247      ,     1       ,
  143   ,   241   ,   247      ,    52       ,
  144   ,   240   ,   247      ,     1       ,
  145   ,   239   ,   247      ,     1       ,
  146   ,   238   ,   247      ,     1       ,
  147   ,   237   ,   247      ,     1       ,
  148   ,   236   ,   247      ,     1       ,
  149   ,   235   ,   247      ,     1       ,
  150   ,   234   ,   247      ,     1       ,
  151   ,   233   ,   247      ,     1       ,
  152   ,   232   ,   247      ,     1       ,
  153   ,   231   ,   247      ,     1       ,
  154   ,   230   ,   247      ,    14       ,
  155   ,   229   ,   247      ,     1       ,
  156   ,   228   ,   247      ,     1       ,
  157   ,   227   ,   247      ,     1       ,
  158   ,   226   ,   247      ,    52       ,
  159   ,   225   ,   247      ,     1       ,
  160   ,   224   ,   247      ,     1       ,
  161   ,   255   ,   245      ,     1       ,
  162   ,   254   ,   245      ,     1       ,
  163   ,   253   ,   245      ,     1       ,
  164   ,   252   ,   245      ,     1       ,
  165   ,   251   ,   245      ,     1       ,
  166   ,   250   ,   245      ,     1       ,
  167   ,   249   ,   245      ,    16       ,
  168   ,   248   ,   245      ,     1       ,
  169   ,   247   ,   245      ,     1       ,
  170   ,   246   ,   245      ,     1       ,
  171   ,   245   ,   245      ,     1       ,
  172   ,   244   ,   245      ,     1       ,
  173   ,   243   ,   245      ,    52       ,
  174   ,   242   ,   245      ,     1       ,
  175   ,   241   ,   245      ,    52       ,
  176   ,   240   ,   245      ,    52       ,
  177   ,   239   ,   245      ,     1       ,
  178   ,   238   ,   245      ,    83       ,
  179   ,   237   ,   245      ,     1       ,
  180   ,   236   ,   245      ,     1       ,
  181   ,   235   ,   245      ,     1       ,
  182   ,   234   ,   245      ,     1       ,
  183   ,   233   ,   245      ,     1       ,
  184   ,   232   ,   245      ,    52       ,
  185   ,   231   ,   245      ,     1       ,
  186   ,   230   ,   245      ,    14       ,
  187   ,   229   ,   245      ,     1       ,
  188   ,   228   ,   245      ,     1       ,
  189   ,   227   ,   245      ,     1       ,
  190   ,   226   ,   245      ,     1       ,
  191   ,   225   ,   245      ,     1       ,
  192   ,   224   ,   245      ,     1       ,
  193   ,   255   ,   243      ,     1       ,
  194   ,   254   ,   243      ,     1       ,
  195   ,   253   ,   243      ,     1       ,
  196   ,   252   ,   243      ,    52       ,
  197   ,   251   ,   243      ,     1       ,
  198   ,   250   ,   243      ,    52       ,
  199   ,   249   ,   243      ,     1       ,
  200   ,   248   ,   243      ,    52       ,
  201   ,   247   ,   243      ,     1       ,
  202   ,   246   ,   243      ,     1       ,
  203   ,   245   ,   243      ,    52       ,
  204   ,   244   ,   243      ,     1       ,
  205   ,   243   ,   243      ,     1       ,
  206   ,   242   ,   243      ,     1       ,
  207   ,   241   ,   243      ,     1       ,
  208   ,   240   ,   243      ,     1       ,
  209   ,   239   ,   243      ,     1       ,
  210   ,   238   ,   243      ,    52       ,
  211   ,   237   ,   243      ,     1       ,
  212   ,   236   ,   243      ,     1       ,
  213   ,   235   ,   243      ,    52       ,
  214   ,   234   ,   243      ,    52       ,
  215   ,   233   ,   243      ,     1       ,
  216   ,   232   ,   243      ,    52       ,
  217   ,   231   ,   243      ,     1       ,
